Date,Event,Registrations,All_Attendance,Livestream,Room Capacity,Category,Guest_Speaker,in_person,Genres
12/17/2019,LFOD x The ARTery: State of New England Hip Hop,190,60,0,254,ARTery,No,60,Arts & Culture
9/23/2021,The ARTery 25,367,227,123,254,ARTery,No,104,Entertainment
3/28/2019,The ARTery 25,367,227,0,254,ARTery,No,227,Entertainment
8/23/2019,The ARTery's Massachusetts Favorite of the Tiny Desk: Frances Forever,151,129,0,254,ARTery,No,129,Entertainment
7/30/2020,Black Boston: Building Healthy Communities,402,146,0,254,Boston,No,146,Health & Wellness
9/21/2020,Black Boston: Changing the Face of Politics,497,236,0,254,Boston,No,236,Politics
8/27/2020,Black Boston: Telling Our Stories,189,77,0,254,Boston,No,77,Journalism & Media
9/15/2019,The History of Commonwealth Avenue,294,184,0,254,Boston,No,184,History
5/1/2019,"Boston Brilliance: Crispr scientists Omar Abudayyeh
 and Jonathan Gootenberg",109,63,0,254,Boston,Yes,63,Science
6/10/2019,Boston Brilliance: Eric Lander,158,88,0,254,Boston,Yes,88,Science
5/21/2019,Boston Brilliance: Walter Willett,91,60,0,254,Boston,Yes,60,Health & Wellness
3/18/2019,Catching Up with Boston Marathon Winner Des Linden,95,96,0,254,Boston,Yes,96,Sports
9/23/2019,Boston Fashion Week GlamSlam,65,62,0,254,Boston,No,62,Fashion
10/6/2023,Boston Fashion Week GlamSlam 2023,56,40,0,254,Boston,No,40,Fashion
11/4/2022,AGNI at 50: A literary celebration,284,226,10,254,Celebration,No,216,Entertainment
11/4/2021,A Celebration of Car Talk,423,416,200,254,Celebration,No,216,Entertainment
10/25/2022,Celebrating 10 Years of Cognoscenti,167,124,0,254,Celebration,No,124,Entertainment
3/12/2019,Celebrating International Women's Day,101,69,0,254,Celebration,No,69,Entertainment
12/19/2023,A Christmas Carol,194,135,0,254,Celebration,No,135,Entertainment
7/9/2022,Circle Round Book Launch Party,300,229,24,254,Circle Round,No,205,Child Entertainment
6/17/2023,Circle Round Book Launch Party,300,229,22,254,Circle Round,No,207,Child Entertainment
