Date,Event,Registrations,All_Attendance,Livestream,Room Capacity,Category,Guest_Speaker,in_person,Genres,Total_Profit,Ticket Quantity
2019-12-17,LFOD x The ARTery: State of New England Hip Hop,190.0,60,0,254,ARTery,No,60,Arts & Culture,0.0,301
2021-09-23,The ARTery 25,367.0,227,123,254,ARTery,No,104,Entertainment,0.0,1076
2019-03-28,The ARTery 25,367.0,227,0,254,ARTery,No,227,Entertainment,0.0,1076
2019-08-23,The ARTery's Massachusetts Favorite of the Tiny Desk: Frances Forever,151.0,129,0,254,ARTery,No,129,Entertainment,958.0,251
2020-07-30,Black Boston: Building Healthy Communities,402.0,146,0,254,Boston,No,146,Health & Wellness,0.0,23
2019-09-15,The History of Commonwealth Avenue,294.0,184,0,254,Boston,No,184,History,0.0,549
2019-05-01,"Boston Brilliance: Crispr scientists Omar Abudayyeh
 and Jonathan Gootenberg",109.0,63,0,254,Boston,Yes,63,Science,294.0,208
2019-06-10,Boston Brilliance: Eric Lander,158.0,88,0,254,Boston,Yes,88,Science,453.5,263
2019-05-21,Boston Brilliance: Walter Willett,91.0,60,0,254,Boston,Yes,60,Health & Wellness,370.0,149
2019-03-18,Catching Up with Boston Marathon Winner Des Linden,95.0,96,0,254,Boston,Yes,96,Sports,1261.5,170
2019-09-23,Boston Fashion Week GlamSlam,65.0,62,0,254,Boston,No,62,Fashion,565.0,93
2023-10-06,Boston Fashion Week GlamSlam 2023,56.0,40,0,254,Boston,No,40,Fashion,790.0,92
2022-11-04,AGNI at 50: A literary celebration,284.0,226,10,254,Celebration,No,216,Entertainment,1955.0,259
2021-11-04,A Celebration of Car Talk,423.0,416,200,254,Celebration,No,216,Entertainment,8600.0,515
2022-10-25,Celebrating 10 Years of Cognoscenti,167.0,124,0,254,Celebration,No,124,Entertainment,0.0,208
2019-03-12,Celebrating International Women's Day,101.0,69,0,254,Celebration,No,69,Entertainment,1240.5,157
2022-07-09,Circle Round Book Launch Party,300.0,229,24,254,Circle Round,No,205,Child Entertainment,4245.0,1263
2023-06-17,Circle Round Book Launch Party,300.0,229,22,254,Circle Round,No,207,Child Entertainment,4245.0,1263
2022-11-12,Circle Round Book Launch Party II,292.0,250,52,254,Circle Round,No,198,Child Entertainment,1530.0,537
2023-12-09,Circle Round Live: Holiday Edition,291.0,272,47,254,Circle Round,No,225,Child Entertainment,3935.0,681
